Продукт,Калорийность,Белки,Жиры,Углеводы
Макфлури Де Люкс Ананас [Макдоналдс],334 кКал,"6,4 г","8,2 г",59 г
Макфлури Де Люкс Крем-Брюле [Макдоналдс],322 кКал,6 г,6 г,59 г
Макфлури Де Люкс Мокко [Макдоналдс],360 кКал,"7,2 г",11 г,57 г
Макфлури Де Люкс Персик [Макдоналдс],347 кКал,"6,7 г","8,2 г",61 г
Макфлури Де Люкс с Бисквитом и Карамелью [Макдоналдс],400 кКал,"7,1 г",11 г,67 г
Макфлури Карамель [Макдоналдс],354 кКал,"8,1 г",9 г,60 г
Макфлури Карамельный с Вафельно-Шоколадной Крошкой [Макдоналдс],370 кКал,7 г,"9,4 г",64 г
Макфлури Лесной Орех [Макдоналдс],220 кКал,8 г,6 г,34 г
Макфлури с Вафельно-Шоколадной Крошкой [Макдоналдс],270 кКал,6 г,8 г,43 г
Макфлури с Шоколадно-Вафельной Крошкой [Макдоналдс],280 кКал,6 г,8 г,40 г
Макфлури Сочный Ананас [Макдоналдс],290 кКал,"5,5 г","5,6 г",54 г
Макфлури Спелая Вишня [Макдоналдс],344 кКал,"6,4 г","8,2 г",61 г
Макфлури Спелое Манго [Макдоналдс],285 кКал,"5,5 г","5,7 г",53 г
Макфлури Тирамису [Макдоналдс],343 кКал,7 г,"7,6 г",62 г
Макфлури Яблочный Пай [Макдоналдс],307 кКал,"6,5 г","6,6 г",55 г
Макфлурри Де Люкс Грецкий Орех [Макдоналдс],277 кКал,"5,5 г","5,6 г",51 г
Макфлурри Де Люкс Гуава [Макдоналдс],343 кКал,"6,4 г","8,2 г",61 г
Макфлурри Де Люкс Карамельно-Шоколадное [Макдоналдс],406 кКал,"7,1 г",11 г,71 г
Макфлурри Де Люкс Клубнично-Шоколадное [Макдоналдс],345 кКал,"6,4 г","8,6 г",60 г
Макфлурри Де Люкс Клубничный Бискотти [Макдоналдс],337 кКал,"6,4 г","9,4 г",56 г
Макфлурри Де Люкс Крем-Брюле [Макдоналдс],322 кКал,"6,5 г","6,6 г",59 г
Макфлурри Де Люкс Малина [Макдоналдс],294 кКал,"6,4 г","8,2 г",48 г
Макфлурри Де Люкс Мокко [Макдоналдс],360 кКал,"7,2 г",11 г,57 г
Макфлурри Де Люкс Персик [Макдоналдс],347 кКал,"6,7 г","8,2 г",61 г
Макфлурри Де Люкс с Бисквитом и Карамелью [Макдоналдс],400 кКал,"7,1 г",11 г,67 г
Макфлурри Де Люкс Фисташка [Макдоналдс],268 кКал,"6,1 г","7,7 г",44 г
Макфлурри Де Люкс Шоколадно-Карамельное [Макдоналдс],406 кКал,"7,1 г",11 г,71 г
Макфлурри Де Люкс Шоколадно-Клубничное [Макдоналдс],345 кКал,"6,4 г","8,6 г",60 г
Макфлурри Де Люкс Яблочный Пай [Макдоналдс],307 кКал,"6,5 г","6,6 г",55 г
Макфлурри с Рисом и Клубникой [Макдоналдс],290 кКал,5 г,6 г,54 г
Макфлурри Спелое Манго [Макдоналдс],285 кКал,"5,5 г","5,7 г",53 г
Макфлурри Шоколадно-Клубничное [Макдоналдс],345 кКал,"6,4 г","8,6 г",60 г
Макфлэйвор Фрайз [Макдоналдс],414 кКал,"7,1 г",20 г,49 г
Макфлэйвор Фрайз по Деревенски [Макдоналдс],449 кКал,"9,5 г",24 г,46 г
Макфреш [Макдоналдс],519 кКал,25 г,31 г,34 г
Макчикен [Макдоналдс],484 кКал,21 г,15 г,62 г
Макшейк [Макдоналдс],235 кКал,7 г,7 г,35 г
Малиновый Лимонад [Макдоналдс],139 кКал,0 г,0 г,35 г
"Малиновый Пунш (0,3 L) [Макдоналдс]",140 кКал,"0,3 г",0 г,35 г
Малиновый Шейк [Макдоналдс],244 кКал,"5,7 г","4,3 г",45 г
Маффин с Черной Смородиной [Макдоналдс],370 кКал,5 г,18 г,47 г
Маффин с Шоколадом [Макдоналдс],346 кКал,"5,9 г",12 г,55 г
Маффин с Яблоком и Корицей [Макдоналдс],463 кКал,"5,8 г",22 г,60 г
Маффин Шоколадный [Макдоналдс],289 кКал,"4,6 г","13,7 г","36,8 г"
Маффин Шоколадный с Черничным Джемом [Макдоналдс],360 кКал,5 г,16 г,49 г
Маэстро Биф & Бородинский [Макдоналдс],643 кКал,36 г,40 г,36 г
Маэстро Классик [Макдоналдс],686 кКал,41 г,42 г,37 г
Микс Бокс [Макдоналдс],858 кКал,38 г,41 г,83 г
"Молоко 3,5% [Макдоналдс]",62 кКал,3 г,"3,5 г","4,7 г"
Молочный Коктейль Ваниль [Макдоналдс],81 кКал,2 г,"1,5 г",15 г
"Молочный Коктейль Ванильный (0,3 L) [Макдоналдс]",244 кКал,"6,1 г","4,6 г",45 г
"Молочный Коктейль Ванильный (0,4 L) [Макдоналдс]",385 кКал,9 г,7 г,71 г
"Молочный Коктейль Клубника (0,25 L) [Макдоналдс]",244 кКал,"6,1 г","4,6 г",45 г
"Молочный Коктейль Клубничный (0,3 L) [Макдоналдс]",244 кКал,"6,1 г","4,6 г",45 г
"Молочный Коктейль Клубничный (0,4 L) [Макдоналдс]",385 кКал,9 г,7 г,71 г
"Молочный Коктейль Шоколадный (0,25 L) [Макдоналдс]",247 кКал,"6,7 г",5 г,43 г
"Молочный Коктейль Шоколадный (0,47 L) [Макдоналдс]",386 кКал,10 г,"7,9 г",68 г
"Молочный Коктейль Шоколадный (0,47 L) [Макдоналдс]",386 кКал,10 г,"7,9 г",68 г
"Молочный Коктейль Шоколадный (0,6 L) [Макдоналдс]",493 кКал,13 г,10 г,87 г
Морковные Палочки [Макдоналдс],34 кКал,"1,3 г","0,1 г","6,9 г"
Морковные Палочки [Макдоналдс],28 кКал,1 г,"0,1 г","5,5 г"
Морковные палочки McDonalds [Макдоналдс],27 кКал,1 г,0 г,6 г
Мороженное с Шоколадом [Макдоналдс],315 кКал,6 г,9 г,52 г
Мороженое Гуава [Макдоналдс],257 кКал,"1,9 г","4,9 г",48 г
Мороженое Карамельное [Макдоналдс],319 кКал,"5,6 г","6,9 г",59 г
Мороженое Клубничное [Макдоналдс],258 кКал,5 г,"4,9 г",48 г
Мороженое Макфлури Де Люкс Шоко-Карамель [Макдоналдс],406 кКал,"7,1 г",11 г,71 г
Мороженое Малина [Макдоналдс],209 кКал,"4,8 г","4,9 г",36 г
Мороженое Персик [Макдоналдс],260 кКал,"5,1 г","4,9 г",49 г
Мороженое Рожок [Макдоналдс],164 кКал,"3,8 г","3,6 г",29 г
